,month_audience_score,counts
0,Apr_'100',67
1,Apr_'42',1
2,Apr_'50',2
3,Apr_'54',1
4,Apr_'59',1
5,Apr_'67',1
6,Apr_'70',1
7,Apr_'71',1
8,Apr_'72',1
9,Apr_'75',2
10,Apr_'77',1
11,Apr_'78',3
12,Apr_'79',2
13,Apr_'80',2
14,Apr_'81',2
15,Apr_'82',3
16,Apr_'83',9
17,Apr_'84',6
18,Apr_'85',5
19,Apr_'86',7
20,Apr_'87',7
21,Apr_'88',13
22,Apr_'89',11
23,Apr_'90',13
24,Apr_'91',8
25,Apr_'92',13
26,Apr_'93',13
27,Apr_'94',14
28,Apr_'95',9
29,Apr_'96',6
30,Apr_'97',5
31,Apr_'98',3
32,Apr_'99',2
33,Apr_nan,4
34,Aug_'100',45
35,Aug_'17',1
36,Aug_'49',1
37,Aug_'50',2
38,Aug_'62',1
39,Aug_'64',1
40,Aug_'67',1
41,Aug_'71',1
42,Aug_'75',1
43,Aug_'76',2
44,Aug_'77',3
45,Aug_'78',1
46,Aug_'80',1
47,Aug_'82',2
48,Aug_'83',2
49,Aug_'84',2
50,Aug_'85',5
51,Aug_'86',6
52,Aug_'87',7
53,Aug_'88',14
54,Aug_'89',5
55,Aug_'90',12
56,Aug_'91',10
57,Aug_'92',17
58,Aug_'93',17
59,Aug_'94',9
60,Aug_'95',10
61,Aug_'96',7
62,Aug_'97',8
63,Aug_'98',5
64,Aug_'99',4
65,Aug_nan,6
66,Dec_'100',40
67,Dec_'11',1
68,Dec_'14',1
69,Dec_'33',1
70,Dec_'35',1
71,Dec_'40',2
72,Dec_'50',1
73,Dec_'54',1
74,Dec_'57',1
75,Dec_'65',1
76,Dec_'67',1
77,Dec_'72',2
78,Dec_'73',3
79,Dec_'74',1
80,Dec_'75',3
81,Dec_'76',3
82,Dec_'77',3
83,Dec_'78',1
84,Dec_'79',4
85,Dec_'80',3
86,Dec_'81',2
87,Dec_'82',1
88,Dec_'83',2
89,Dec_'84',3
90,Dec_'85',4
91,Dec_'86',16
92,Dec_'87',7
93,Dec_'88',13
94,Dec_'89',9
95,Dec_'90',8
96,Dec_'91',9
97,Dec_'92',10
98,Dec_'93',14
99,Dec_'94',11
100,Dec_'95',10
101,Dec_'96',3
102,Dec_'97',4
103,Dec_'98',4
104,Dec_'99',2
105,Dec_nan,10
106,Feb_'100',30
107,Feb_'32',1
108,Feb_'33',1
109,Feb_'39',1
110,Feb_'40',1
111,Feb_'53',1
112,Feb_'59',1
113,Feb_'75',4
114,Feb_'76',2
115,Feb_'77',4
116,Feb_'78',2
117,Feb_'79',3
118,Feb_'80',2
119,Feb_'81',2
120,Feb_'82',2
121,Feb_'84',1
122,Feb_'85',7
123,Feb_'86',5
124,Feb_'87',5
125,Feb_'88',8
126,Feb_'89',3
127,Feb_'90',5
128,Feb_'91',13
129,Feb_'92',6
130,Feb_'93',4
131,Feb_'94',8
132,Feb_'95',5
133,Feb_'96',6
134,Feb_'97',3
135,Feb_'98',1
136,Feb_'99',1
137,Feb_nan,8
138,Jan_'100',63
139,Jan_'45',1
140,Jan_'60',1
141,Jan_'62',1
142,Jan_'72',1
143,Jan_'73',2
144,Jan_'74',1
145,Jan_'75',2
146,Jan_'76',1
147,Jan_'77',1
148,Jan_'79',1
149,Jan_'80',7
150,Jan_'81',3
151,Jan_'82',4
152,Jan_'83',9
153,Jan_'84',4
154,Jan_'85',5
155,Jan_'86',9
156,Jan_'87',14
157,Jan_'88',17
158,Jan_'89',15
159,Jan_'9',1
160,Jan_'90',20
161,Jan_'91',9
162,Jan_'92',12
163,Jan_'93',11
164,Jan_'94',13
165,Jan_'95',5
166,Jan_'96',6
167,Jan_'97',5
168,Jan_'98',1
169,Jan_'99',5
170,Jan_nan,6
171,Jul_'100',40
172,Jul_'12',1
173,Jul_'32',1
174,Jul_'38',1
175,Jul_'60',1
176,Jul_'63',1
177,Jul_'64',1
178,Jul_'72',1
179,Jul_'74',1
180,Jul_'76',4
181,Jul_'77',2
182,Jul_'78',1
183,Jul_'80',3
184,Jul_'81',1
185,Jul_'82',2
186,Jul_'83',4
187,Jul_'84',1
188,Jul_'85',3
189,Jul_'86',4
190,Jul_'87',8
191,Jul_'88',10
192,Jul_'89',12
193,Jul_'90',8
194,Jul_'91',5
195,Jul_'92',11
196,Jul_'93',10
197,Jul_'94',6
198,Jul_'95',6
199,Jul_'96',3
200,Jul_'97',2
201,Jul_'98',3
202,Jul_'99',1
203,Jul_nan,4
204,Jun_'0',1
205,Jun_'100',31
206,Jun_'12',1
207,Jun_'26',1
208,Jun_'34',1
209,Jun_'46',1
210,Jun_'52',1
211,Jun_'56',1
212,Jun_'71',1
213,Jun_'73',1
214,Jun_'76',2
215,Jun_'77',1
216,Jun_'78',1
217,Jun_'79',1
218,Jun_'80',2
219,Jun_'81',2
220,Jun_'82',1
221,Jun_'83',5
222,Jun_'85',3
223,Jun_'86',5
224,Jun_'87',5
225,Jun_'88',6
226,Jun_'89',5
227,Jun_'90',7
228,Jun_'91',9
229,Jun_'92',15
230,Jun_'93',10
231,Jun_'94',7
232,Jun_'95',5
233,Jun_'96',5
234,Jun_'97',7
235,Jun_'98',3
236,Jun_'99',2
237,Jun_nan,8
238,Mar_'100',60
239,Mar_'12',1
240,Mar_'17',1
241,Mar_'40',1
242,Mar_'60',1
243,Mar_'61',1
244,Mar_'69',1
245,Mar_'71',1
246,Mar_'75',3
247,Mar_'76',3
248,Mar_'77',2
249,Mar_'78',2
250,Mar_'79',1
251,Mar_'80',2
252,Mar_'81',1
253,Mar_'82',1
254,Mar_'83',3
255,Mar_'84',6
256,Mar_'85',7
257,Mar_'86',9
258,Mar_'87',13
259,Mar_'88',13
260,Mar_'89',17
261,Mar_'90',16
262,Mar_'91',8
263,Mar_'92',21
264,Mar_'93',16
265,Mar_'94',14
266,Mar_'95',14
267,Mar_'96',7
268,Mar_'97',4
269,Mar_'98',3
270,Mar_'99',5
271,Mar_nan,6
272,May_'100',46
273,May_'31',1
274,May_'43',1
275,May_'53',1
276,May_'54',1
277,May_'60',1
278,May_'66',2
279,May_'67',1
280,May_'72',1
281,May_'74',2
282,May_'75',1
283,May_'76',1
284,May_'77',1
285,May_'79',1
286,May_'80',4
287,May_'81',1
288,May_'82',1
289,May_'83',5
290,May_'84',1
291,May_'85',4
292,May_'86',6
293,May_'87',12
294,May_'88',12
295,May_'89',11
296,May_'90',12
297,May_'91',9
298,May_'92',13
299,May_'93',12
300,May_'94',10
301,May_'95',6
302,May_'96',2
303,May_'97',1
304,May_'98',2
305,May_'99',2
306,May_nan,6
307,Nov_'100',68
308,Nov_'15',1
309,Nov_'18',1
310,Nov_'30',1
311,Nov_'31',1
312,Nov_'42',1
313,Nov_'46',1
314,Nov_'58',1
315,Nov_'60',3
316,Nov_'72',1
317,Nov_'73',1
318,Nov_'74',4
319,Nov_'75',6
320,Nov_'76',6
321,Nov_'77',2
322,Nov_'78',3
323,Nov_'79',5
324,Nov_'80',8
325,Nov_'81',5
326,Nov_'82',3
327,Nov_'83',12
328,Nov_'84',7
329,Nov_'85',9
330,Nov_'86',12
331,Nov_'87',9
332,Nov_'88',16
333,Nov_'89',18
334,Nov_'90',16
335,Nov_'91',21
336,Nov_'92',25
337,Nov_'93',16
338,Nov_'94',18
339,Nov_'95',15
340,Nov_'96',13
341,Nov_'97',5
342,Nov_'98',6
343,Nov_'99',2
344,Nov_nan,12
345,Oct_'100',47
346,Oct_'31',1
347,Oct_'32',1
348,Oct_'37',1
349,Oct_'38',1
350,Oct_'60',1
351,Oct_'64',1
352,Oct_'67',1
353,Oct_'68',1
354,Oct_'71',1
355,Oct_'73',2
356,Oct_'74',1
357,Oct_'75',4
358,Oct_'76',2
359,Oct_'78',5
360,Oct_'79',3
361,Oct_'80',3
362,Oct_'81',3
363,Oct_'83',5
364,Oct_'84',2
365,Oct_'85',4
366,Oct_'86',7
367,Oct_'87',5
368,Oct_'88',15
369,Oct_'89',9
370,Oct_'90',15
371,Oct_'91',18
372,Oct_'92',6
373,Oct_'93',11
374,Oct_'94',6
375,Oct_'95',14
376,Oct_'96',7
377,Oct_'97',7
378,Oct_'98',4
379,Oct_'99',4
380,Oct_nan,8
381,Sep_'100',36
382,Sep_'44',1
383,Sep_'65',1
384,Sep_'71',1
385,Sep_'72',1
386,Sep_'73',2
387,Sep_'74',1
388,Sep_'75',2
389,Sep_'76',4
390,Sep_'77',2
391,Sep_'78',2
392,Sep_'79',2
393,Sep_'80',1
394,Sep_'81',2
395,Sep_'82',3
396,Sep_'83',4
397,Sep_'84',2
398,Sep_'85',2
399,Sep_'86',7
400,Sep_'87',6
401,Sep_'88',2
402,Sep_'89',11
403,Sep_'90',9
404,Sep_'91',10
405,Sep_'92',17
406,Sep_'93',7
407,Sep_'94',14
408,Sep_'95',8
409,Sep_'96',3
410,Sep_'97',8
411,Sep_'98',3
412,Sep_'99',3
413,Sep_nan,4
